Category,Motivation,clean_motivation,Label
physics,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",recognition extraordinary services rendered discovery remarkable rays subsequently named,0
medicine,"""for his work on serum therapy especially its application against diphtheria by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""",work serum therapy especially application diphtheria opened new road domain medical science thereby placed hands physician victorious weapon illness deaths,1
peace,"""for his humanitarian efforts to help wounded soldiers and create international understanding""",humanitarian efforts help wounded soldiers create international understanding,2
peace,"""for his lifelong work for international peace conferences diplomacy and arbitration""",lifelong work international peace conferences diplomacy arbitration,2
literature,"""in special recognition of his poetic composition which gives evidence of lofty idealism artistic perfection and a rare combination of the qualities of both heart and intellect""",special recognition poetic composition gives evidence lofty idealism artistic perfection rare combination qualities heart intellect,3
chemistry,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",recognition extraordinary services rendered discovery laws chemical dynamics osmotic pressure solutions,4
chemistry,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",recognition extraordinary services rendered work sugar purine syntheses,4
literature,"""the greatest living master of the art of historical writing with special reference to his monumental work <I>A history of Rome</I>""",greatest living master art historical writing special reference monumental work IA history RomeI,3
peace,"""for his eminently practical administration of the Inter-Parliamentary Union""",eminently practical administration InterParliamentary Union,2
peace,"""for his untiring and skilful directorship of the Bern Peace Bureau""",untiring skilful directorship Bern Peace Bureau,2
physics,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",recognition extraordinary service rendered researches influence magnetism upon radiation phenomena,0
medicine,"""for his work on malaria by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""",work malaria shown enters organism thereby laid foundation successful research disease methods combating,1
physics,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",recognition extraordinary service rendered researches influence magnetism upon radiation phenomena,0
physics,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",recognition extraordinary services rendered joint researches radiation phenomena discovered Professor Henri Becquerel,0
peace,"""for his longstanding and devoted effort in favour of the ideas of peace and arbitration""",longstanding devoted effort favour ideas peace arbitration,2
physics,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",recognition extraordinary services rendered discovery spontaneous radioactivity,0
physics,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",recognition extraordinary services rendered joint researches radiation phenomena discovered Professor Henri Becquerel,0
chemistry,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element""",recognition services advancement chemistry discovery elements radium polonium isolation radium study nature compounds remarkable element,4
medicine,"""in recognition of his contribution to the treatment of diseases especially lupus vulgaris with concentrated light radiation whereby he has opened a new avenue for medical science""",recognition contribution treatment diseases especially lupus vulgaris concentrated light radiation whereby opened new avenue medical science,1
literature,"""as a tribute to his noble magnificent and versatile poetry which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",tribute noble magnificent versatile poetry always distinguished freshness inspiration rare purity spirit,3
chemistry,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",recognition extraordinary services rendered advancement chemistry electrolytic theory dissociation,4
literature,"""in recognition of the numerous and brilliant compositions which in an individual and original manner have revived the great traditions of the Spanish drama""",recognition numerous brilliant compositions individual original manner revived great traditions Spanish drama,3
